Iteration,Energy,Positional_error,Obstacle_distance,Task success,RNS,HV,Parameters
1,52.04,3.43,1.3,0,0.2,0.67,"{'controller_frequency': 4.521244287490845, 'planner_patience': 5.040245294570923, 'controller_patience': 3.3145854771137238, 'conservative_reset_dist': 2.489640474319458, 'acc_lim_theta': 4.427330106496811, 'acc_lim_trans': 0.22013205289840698, 'acc_lim_x': 1.5564534664154053, 'forward_point_distance': 0.5230254888534546, 'goal_distance_bias': 9.34813778847456, 'max_scaling_factor': 0.40323915481567385, 'max_vel_theta': 1.7557796835899353, 'max_vel_trans': 0.44977158755064006, 'max_vel_x': 0.593245267868042, 'min_vel_theta': 2.722527712583542, 'min_vel_trans': 0.11336612403392793, 'min_vel_x': -0.021936285495758046, 'occdist_scale': 0.4403975874185562, 'oscillation_reset_angle': 0.3781738996505738, 'path_distance_bias': 11.883870512247086, 'scaling_speed': 0.23841094970703125, 'sim_granularity': 0.03830691576004028, 'sim_time': 2.0383829474449158, 'stop_time_buffer': 0.3445325493812561, 'theta_stopped_vel': 0.1324109375476837, 'trans_stopped_vel': 0.0774465799331665, 'vth_samples': 14, 'vx_samples': 10, 'vy_samples': 10, 'publish_frequency': 3.672085165977478, 'resolution': 0.07698082268238068, 'transform_tolerance': 0.8690062820911408, 'update_frequency': 3.7926576137542725, 'cost_scaling_factor': 11.060479760169983, 'inflation_radius': 1.3571667194366455, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
2,163.64,4.03,0.69,0,0,0.43,"{'controller_frequency': 6.688848067075014, 'planner_patience': 5.617611262947321, 'controller_patience': 6.640835024416447, 'conservative_reset_dist': 3.595052894204855, 'acc_lim_theta': 3.717244458850473, 'acc_lim_trans': 0.4131067771464586, 'acc_lim_x': 4.333029225468636, 'forward_point_distance': 0.5453781568445265, 'goal_distance_bias': 11.643034545704722, 'max_scaling_factor': 0.4639155816286803, 'max_vel_theta': 1.9840804287232459, 'max_vel_trans': 0.7018864391371608, 'max_vel_x': 0.7235653142910451, 'min_vel_theta': 2.333395403344184, 'min_vel_trans': 0.17308493973687292, 'min_vel_x': -0.13763445988297462, 'occdist_scale': 0.0854361188132316, 'oscillation_reset_angle': 0.1056499794125557, 'path_distance_bias': 14.145276099443436, 'scaling_speed': 0.21975733172148465, 'sim_granularity': 0.018762943670153617, 'sim_time': 3.0541671458631754, 'stop_time_buffer': 1.1422599092125894, 'theta_stopped_vel': 0.10720626413822174, 'trans_stopped_vel': 0.07400869382545353, 'vth_samples': 14, 'vx_samples': 5, 'vy_samples': 12, 'publish_frequency': 2.1673580249771476, 'resolution': 0.11131137548945845, 'transform_tolerance': 0.9738462150096894, 'update_frequency': 1.3643096005544066, 'cost_scaling_factor': 6.709831940941513, 'inflation_radius': 0.6433151040226222, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
3,73.56,0.72,0.67,0,0.8,0.78,"{'controller_frequency': 3.4262214452028275, 'planner_patience': 3.3923311196267605, 'controller_patience': 3.0201233997941017, 'conservative_reset_dist': 3.0169087573885918, 'acc_lim_theta': 3.94629390090704, 'acc_lim_trans': 0.30811037570238115, 'acc_lim_x': 4.827985972166061, 'forward_point_distance': 0.6543695674277842, 'goal_distance_bias': 7.926340908743441, 'max_scaling_factor': 0.2509193379431963, 'max_vel_theta': 0.9026254815980792, 'max_vel_trans': 0.5984596116933971, 'max_vel_x': 0.546510558994487, 'min_vel_theta': 2.1380125880241394, 'min_vel_trans': 0.1574361133389175, 'min_vel_x': -0.015172595065087058, 'occdist_scale': 0.3649388825986534, 'oscillation_reset_angle': 0.4351227756589652, 'path_distance_bias': 43.23828212916851, 'scaling_speed': 0.2059455506503582, 'sim_granularity': 0.020096566658467055, 'sim_time': 0.6552047478035092, 'stop_time_buffer': 1.3287380147725343, 'theta_stopped_vel': 0.10704847602173687, 'trans_stopped_vel': 0.060605183243751526, 'vth_samples': 17, 'vx_samples': 6, 'vy_samples': 7, 'publish_frequency': 2.960726366378367, 'resolution': 0.11137964008376003, 'transform_tolerance': 0.20177699197083712, 'update_frequency': 1.2278699586167932, 'cost_scaling_factor': 7.4678942719474435, 'inflation_radius': 0.9330100603401661, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
4,224.8,1.87,0.64,0,0.4,0.38,"{'controller_frequency': 6.219179037958384, 'planner_patience': 6.851047340780497, 'controller_patience': 6.022149708122015, 'conservative_reset_dist': 3.192552626132965, 'acc_lim_theta': 2.2262487318366766, 'acc_lim_trans': 0.44260936267673967, 'acc_lim_x': 4.7510534934699535, 'forward_point_distance': 0.23273275177925826, 'goal_distance_bias': 25.516150793991983, 'max_scaling_factor': 0.22899560779333117, 'max_vel_theta': 1.0197488530538976, 'max_vel_trans': 0.6428768383339047, 'max_vel_x': 0.49431634987704454, 'min_vel_theta': 2.2070562900044024, 'min_vel_trans': 0.185241364967078, 'min_vel_x': -0.2987479177303612, 'occdist_scale': 0.38766687070019545, 'oscillation_reset_angle': 0.4956637687981129, 'path_distance_bias': 37.83514562994242, 'scaling_speed': 0.32571030259132383, 'sim_granularity': 0.04125245651230216, 'sim_time': 0.7996151074767113, 'stop_time_buffer': 1.1811348693445325, 'theta_stopped_vel': 0.1267449685372412, 'trans_stopped_vel': 0.145048130210489, 'vth_samples': 20, 'vx_samples': 3, 'vy_samples': 4, 'publish_frequency': 4.103717463091016, 'resolution': 0.09139940953813494, 'transform_tolerance': 1.3820313727483153, 'update_frequency': 1.3720937110483646, 'cost_scaling_factor': 3.3585230568423867, 'inflation_radius': 0.8564824920147658, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
5,360,5.12,0.4,0,0,0.07,"{'controller_frequency': 6.911498945206404, 'planner_patience': 4.7047755271196365, 'controller_patience': 6.848265636712313, 'conservative_reset_dist': 2.0007681846618652, 'acc_lim_theta': 2.2439808174967766, 'acc_lim_trans': 0.4485350709408522, 'acc_lim_x': 2.277587205171585, 'forward_point_distance': 0.451456974633038, 'goal_distance_bias': 21.94375594612211, 'max_scaling_factor': 0.39496495947241783, 'max_vel_theta': 1.7299378081224859, 'max_vel_trans': 0.44773928783833983, 'max_vel_x': 0.4908228740561753, 'min_vel_theta': 2.093744168523699, 'min_vel_trans': 0.19955904129892588, 'min_vel_x': -0.021413426008075498, 'occdist_scale': 0.18816787693649534, 'oscillation_reset_angle': 0.12314842082560062, 'path_distance_bias': 43.61032385379076, 'scaling_speed': 0.28603081330657004, 'sim_granularity': 0.03929771547205746, 'sim_time': 0.5233004922047257, 'stop_time_buffer': 1.2137134870514275, 'theta_stopped_vel': 0.0700009479187429, 'trans_stopped_vel': 0.05677061481401324, 'vth_samples': 12, 'vx_samples': 3, 'vy_samples': 3, 'publish_frequency': 2.1742226406931877, 'resolution': 0.06778444333001972, 'transform_tolerance': 0.8163186294957996, 'update_frequency': 3.8828176530078053, 'cost_scaling_factor': 2.8483270313590765, 'inflation_radius': 0.4711672246456146, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
6,81.24,1.77,0.4,0,0.4,0.7,"{'controller_frequency': 5.34988609701395, 'planner_patience': 6.307164825499058, 'controller_patience': 5.043190166354179, 'conservative_reset_dist': 2.505292668938637, 'acc_lim_theta': 2.7020326444879172, 'acc_lim_trans': 0.17093393467366697, 'acc_lim_x': 4.954466745257378, 'forward_point_distance': 0.5770035413093865, 'goal_distance_bias': 38.564998265355825, 'max_scaling_factor': 0.2636911876499653, 'max_vel_theta': 0.8340747836045921, 'max_vel_trans': 0.4414481075014919, 'max_vel_x': 0.4202952382620424, 'min_vel_theta': 2.549884021282196, 'min_vel_trans': 0.1299486553296447, 'min_vel_x': -0.01660335799679158, 'occdist_scale': 0.3361201288178563, 'oscillation_reset_angle': 0.2599199328571558, 'path_distance_bias': 35.85863534361124, 'scaling_speed': 0.2093233784660697, 'sim_granularity': 0.03704764734953642, 'sim_time': 3.005664397031069, 'stop_time_buffer': 1.091156948916614, 'theta_stopped_vel': 0.08517381642013788, 'trans_stopped_vel': 0.11732989950105548, 'vth_samples': 26, 'vx_samples': 10, 'vy_samples': 10, 'publish_frequency': 2.914478586986661, 'resolution': 0.148911014245823, 'transform_tolerance': 0.24296823572367432, 'update_frequency': 1.4359202506020665, 'cost_scaling_factor': 15.8808922348544, 'inflation_radius': 0.9594077635556459, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
7,103.84,1.78,0.91,0,0.4,0.65,"{'controller_frequency': 3.1941568180918694, 'planner_patience': 6.52567845210433, 'controller_patience': 4.327421493828297, 'conservative_reset_dist': 3.7963553965091705, 'acc_lim_theta': 2.259854322578758, 'acc_lim_trans': 0.24820406287908556, 'acc_lim_x': 3.6882211938500404, 'forward_point_distance': 0.7117632891982794, 'goal_distance_bias': 18.976317276246846, 'max_scaling_factor': 0.45642781704664237, 'max_vel_theta': 1.3211749028414488, 'max_vel_trans': 0.3791042224969715, 'max_vel_x': 0.6610347617883235, 'min_vel_theta': 1.9114587935619056, 'min_vel_trans': 0.14863107930868866, 'min_vel_x': -0.25207599671557546, 'occdist_scale': 0.1613115995191038, 'oscillation_reset_angle': 0.14957733042538168, 'path_distance_bias': 25.442728511989117, 'scaling_speed': 0.24597562123090028, 'sim_granularity': 0.017539678886532784, 'sim_time': 1.3783161751925945, 'stop_time_buffer': 0.8140542777255176, 'theta_stopped_vel': 0.10133142098784446, 'trans_stopped_vel': 0.06489890832453966, 'vth_samples': 20, 'vx_samples': 8, 'vy_samples': 11, 'publish_frequency': 2.2251660646870732, 'resolution': 0.10374161816202104, 'transform_tolerance': 1.2781772756949068, 'update_frequency': 3.7850865060463548, 'cost_scaling_factor': 10.297301183454692, 'inflation_radius': 1.1182645238935947, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
8,188.24,6.84,0.4,0,0,0.29,"{'controller_frequency': 4.34023168310523, 'planner_patience': 3.678370676934719, 'controller_patience': 3.5112118534743786, 'conservative_reset_dist': 1.4601442776620388, 'acc_lim_theta': 4.682813059818, 'acc_lim_trans': 0.35992297939956186, 'acc_lim_x': 2.0129855014383793, 'forward_point_distance': 0.390647960267961, 'goal_distance_bias': 37.162812715396285, 'max_scaling_factor': 0.24912577457726004, 'max_vel_theta': 1.1884489539079368, 'max_vel_trans': 0.6384621750097722, 'max_vel_x': 0.4195697992108762, 'min_vel_theta': 2.1531554334796965, 'min_vel_trans': 0.12828558534383774, 'min_vel_x': -0.001291428040713083, 'occdist_scale': 0.0782746157143265, 'oscillation_reset_angle': 0.2546215552836657, 'path_distance_bias': 49.00560703128576, 'scaling_speed': 0.30698217172175646, 'sim_granularity': 0.0312440241035074, 'sim_time': 3.3072310937568545, 'stop_time_buffer': 0.5514409026131034, 'theta_stopped_vel': 0.08181520430371166, 'trans_stopped_vel': 0.09234013492241502, 'vth_samples': 17, 'vx_samples': 5, 'vy_samples': 3, 'publish_frequency': 3.3722011456266046, 'resolution': 0.10837256784550846, 'transform_tolerance': 0.26668497994542123, 'update_frequency': 1.4937005368992686, 'cost_scaling_factor': 4.879999999888241, 'inflation_radius': 0.49809921272099017, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
9,226.12,6.53,1.04,0,0,0.25,"{'controller_frequency': 4.468713451176882, 'planner_patience': 6.2437804490327835, 'controller_patience': 4.461825925856829, 'conservative_reset_dist': 2.0563386529684067, 'acc_lim_theta': 3.2493388546630744, 'acc_lim_trans': 0.4624829705804586, 'acc_lim_x': 4.704242955893278, 'forward_point_distance': 0.5583302941173315, 'goal_distance_bias': 17.147566666826606, 'max_scaling_factor': 0.1280529908835888, 'max_vel_theta': 1.9404608188197017, 'max_vel_trans': 0.5810182575602084, 'max_vel_x': 0.6646023696754128, 'min_vel_theta': 2.1755398269742727, 'min_vel_trans': 0.15650586420670154, 'min_vel_x': -0.22141053518280385, 'occdist_scale': 0.07233235305175185, 'oscillation_reset_angle': 0.48836014196276667, 'path_distance_bias': 17.063154131174088, 'scaling_speed': 0.2104040803387761, 'sim_granularity': 0.03174337428063154, 'sim_time': 3.1376247219741344, 'stop_time_buffer': 0.9419053530320525, 'theta_stopped_vel': 0.13918898738920688, 'trans_stopped_vel': 0.08347223326563835, 'vth_samples': 26, 'vx_samples': 9, 'vy_samples': 0, 'publish_frequency': 4.192587643861771, 'resolution': 0.10854641576297581, 'transform_tolerance': 0.4925825543701649, 'update_frequency': 4.135834229178727, 'cost_scaling_factor': 8.659803668037057, 'inflation_radius': 0.412269789353013, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
10,56.68,3.68,1.03,0,0.2,0.65,"{'controller_frequency': 6.264855667948723, 'planner_patience': 6.511878293007612, 'controller_patience': 5.422041971236467, 'conservative_reset_dist': 3.6100716181099415, 'acc_lim_theta': 3.1615411126986146, 'acc_lim_trans': 0.22759053483605385, 'acc_lim_x': 2.767473742365837, 'forward_point_distance': 0.710367794521153, 'goal_distance_bias': 34.080410483293235, 'max_scaling_factor': 0.4955267231911421, 'max_vel_theta': 1.9008394395932555, 'max_vel_trans': 0.7127396995201707, 'max_vel_x': 0.31502869706600906, 'min_vel_theta': 2.0409111930057406, 'min_vel_trans': 0.1644797963090241, 'min_vel_x': -0.13443685490638016, 'occdist_scale': 0.46733870059251786, 'oscillation_reset_angle': 0.46530165188014505, 'path_distance_bias': 38.815439604222775, 'scaling_speed': 0.15662547815591096, 'sim_granularity': 0.022004259657114743, 'sim_time': 0.5905835684388876, 'stop_time_buffer': 0.8407977879047394, 'theta_stopped_vel': 0.11234965305775405, 'trans_stopped_vel': 0.08758245287463069, 'vth_samples': 11, 'vx_samples': 5, 'vy_samples': 6, 'publish_frequency': 1.4896188527345657, 'resolution': 0.14006804713979362, 'transform_tolerance': 0.9381581801921131, 'update_frequency': 2.5340791270136833, 'cost_scaling_factor': 17.343031748197973, 'inflation_radius': 1.2403212446719407, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
